Summary for Run #435: S1 = 678; S2 = 663; S3 = 215
Summary for Run #436: S1 = 646; S2 = 641; S3 = 240
Summary for Run #437: S1 = 604; S2 = 679; S3 = 239
Summary for Run #438: S1 = 631; S2 = 676; S3 = 229
Summary for Run #439: S1 = 621; S2 = 685; S3 = 213
Summary for Run #440: S1 = 629; S2 = 636; S3 = 234
Summary for Run #441: S1 = 591; S2 = 687; S3 = 210
Summary for Run #442: S1 = 583; S2 = 672; S3 = 223
Summary for Run #443: S1 = 603; S2 = 680; S3 = 231
Summary for Run #444: S1 = 634; S2 = 682; S3 = 219
Summary for Run #445: S1 = 636; S2 = 664; S3 = 213
Summary for Run #446: S1 = 594; S2 = 659; S3 = 232
Summary for Run #447: S1 = 607; S2 = 663; S3 = 240
Summary for Run #448: S1 = 653; S2 = 692; S3 = 224
Summary for Run #449: S1 = 640; S2 = 662; S3 = 219
Summary for Run #450: S1 = 587; S2 = 680; S3 = 227
Summary for Run #451: S1 = 639; S2 = 679; S3 = 204
Summary for Run #452: S1 = 657; S2 = 660; S3 = 212
Summary for Run #453: S1 = 600; S2 = 690; S3 = 205
Summary for Run #454: S1 = 598; S2 = 668; S3 = 244
Summary for Run #455: S1 = 595; S2 = 668; S3 = 229
Summary for Run #456: S1 = 587; S2 = 685; S3 = 208
Summary for Run #457: S1 = 613; S2 = 662; S3 = 214
Summary for Run #458: S1 = 625; S2 = 676; S3 = 210
Summary for Run #459: S1 = 639; S2 = 687; S3 = 205
Summary for Run #460: S1 = 585; S2 = 705; S3 = 212
Summary for Run #461: S1 = 571; S2 = 679; S3 = 239
Summary for Run #462: S1 = 592; S2 = 683; S3 = 207
Summary for Run #463: S1 = 593; S2 = 689; S3 = 234
Summary for Run #464: S1 = 619; S2 = 678; S3 = 218
Summary for Run #465: S1 = 583; S2 = 684; S3 = 218
Summary for Run #466: S1 = 624; S2 = 685; S3 = 202
